Term / Ensemble Gene ID,ID,Nomenclature Symbol
ENSG00000072444,Not Found,Not Found
ENSG00000083842,Not Found,Not Found
ENSG00000090920,Not Found,Not Found
ENSG00000099869,51214,IGF2-AS
ENSG00000108753,Not Found,Not Found
ENSG00000111788,Not Found,Not Found
ENSG00000120853,Not Found,Not Found
ENSG00000121083,Not Found,Not Found
ENSG00000124097,Not Found,Not Found
ENSG00000124549,54718,BTN2A3P
ENSG00000127589,Not Found,Not Found
ENSG00000127589,Not Found,Not Found
ENSG00000128438,Not Found,Not Found
ENSG00000131484,Not Found,Not Found
ENSG00000131795,Not Found,Not Found
ENSG00000131885,Not Found,Not Found
ENSG00000133624,79970,ZNF767P
ENSG00000134297,51054,PLEKHA8P1
ENSG00000135747,100533111,ZNF670-ZNF695
ENSG00000144785,Not Found,Not Found
ENSG00000150086,Not Found,Not Found
117153,117153,MIA2
ENSG00000151963,Not Found,Not Found
ENSG00000152022,Not Found,Not Found
26148,26148,C10orf12
26148,26148,C10orf12
ENSG00000155744,285172,FAM126B
ENSG00000158482,Not Found,Not Found
ENSG00000159266,Not Found,Not Found
ENSG00000159905,7638,ZNF221
